ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,Substrate Roughness,Backs parameter 1,Scalefactor 1
1,0,.74198497,.0000000,31,1,-436.57026,.47784914,.51164662,.48382337
1,0,.74781381,.0000000,33,2,-431.86570,.47484649,.51317588,.48170610
1,0,.75317948,.0000000,34,1,-430.69783,.47409837,.51355704,.48117928
1,0,.70977650,.56211821,34,5,-430.28021,.47383134,.51369317,.48099093
1,0,.70200832,.0000000,34,2,-425.35585,.47067578,.51530035,.47876625
1,0,.69857073,.0000000,37,2,-417.44328,.46558430,.51789372,.47517741
1,0,.70385896,.0000000,38,1,-397.24800,.45247914,.52456850,.46593677
1,0,.70896484,.0000000,39,1,-393.88896,.45028436,.52568626,.46438812
1,0,.66878947,.31093248,39,5,-392.48819,.44936779,.52615300,.46374129
1,0,.67396464,.0000000,40,1,-372.08480,.43589408,.53301561,.45424118
1,0,.65871252,.0000000,42,3,-370.29372,.43470125,.53362317,.45340022
1,0,.60992411,.30347713,42,7,-365.17730,.43128639,.53536260,.45099177
1,0,.61512513,.0000000,44,1,-352.77926,.42294867,.53960957,.44511327
1,0,.59702887,.0000000,45,4,-326.63282,.40506848,.54871632,.43250656
1,0,.60206601,.0000000,46,1,-324.34635,.40348679,.54952195,.43139002
1,0,.60697878,.0000000,46,1,-268.27258,.36339417,.56994229,.40311997
1,0,.60440097,.0000000,48,2,-257.61733,.35546292,.57398185,.39752761
1,0,.60911049,.29766111,49,1,-235.62307,.33870870,.58251539,.38571338
1,0,.61370919,.0000000,50,1,-178.08653,.29177575,.60641978,.35262148
1,0,.60415092,.0000000,51,3,-135.83907,.25320730,.62606386,.32542697
1,0,.60859866,.0000000,52,1,-135.05996,.25244886,.62644994,.32489320
1,0,.61294756,.0000000,52,1,-105.28847,.22187304,.64202312,.30333419
1,0,.59750300,.0000000,54,4,-70.212484,.17985284,.66342509,.27370501
1,0,.60173981,.0000000,55,1,-61.155671,.16731203,.66981231,.26486247
1,0,.60588836,.40820757,56,1,-42.829410,.13823095,.68462448,.24435857
1,0,.59762923,.0000000,57,3,-12.289675,.48162728E-01,.73049857,.18085063
1,0,.59569597,.0000000,58,2,-11.414943,.30549336E-01,.73946964,.16843152
1,0,.57695868,.0000000,58,5,-11.422700,.29091019E-01,.74021240,.16740401
1,0,.57690576,.0000000,58,1,-11.982548,.16820324E-01,.74646239,.15875082
1,0,.56512537,.34037821,58,4,-11.429079,.32943226E-01,.73825085,.17011910
1,0,.52496209,.0000000,58,11,-11.419126,.31947160E-01,.73875795,.16941649
1,0,.52259046,.0000000,58,1,-12.874764,.53285907E-01,.72788922,.18446285
1,0,.51400501,.0000000,58,4,-11.450322,.34225732E-01,.73759715,.17102361
1,0,.45698535,.15094747,58,21,-11.854220,.43064365E-01,.73309558,.17725597
1,0,.42344789,.0000000,58,14,-12.749109,.52285703E-01,.72839903,.18375803
1,0,.41698111,.0000000,58,5,-11.546636,.37472880E-01,.73594357,.17331347
1,0,.38087473,.10277062,58,18,-12.277847,.48043899E-01,.73055935,.18076676
1,0,.37072986,.0000000,58,8,-11.420512,.29339330E-01,.74008616,.16757892
1,0,.37418494,.0000000,58,2,-11.518480,.36706411E-01,.73633409,.17277339
1,0,.37546225,.0000000,58,2,-11.470008,.35086639E-01,.73715913,.17163132
1,0,.37064258,.0000000,58,3,-13.287380,.56298266E-01,.72635542,.18658720
1,0,.37377371,.0000000,58,1,-12.132317,.15100755E-01,.74733866,.15753865
1,0,.35549000,.66604179E-01,58,14,-11.520782,.36774995E-01,.73629935,.17282094
1,0,.35889238,.0000000,58,2,-11.526535,.36939220E-01,.73621568,.17293615
1,0,.35677303,.0000000,58,3,-12.035583,.45401516E-01,.73190569,.17890371
1,0,.35449962,.0000000,58,5,-11.910614,.17727644E-01,.74600060,.15939100
1,0,.34612150,.10747340,58,9,-11.664828,.40023997E-01,.73464437,.17511241
1,0,.34890396,.0000000,58,1,-11.514662,.24883434E-01,.74235582,.16443712
1,0,.33943758,.0000000,58,9,-11.795055,.19337602E-01,.74518063,.16052662
1,0,.32291276,.44622854E-01,58,17,-11.522731,.36831392E-01,.73627062,.17286042
1,0,.30892313,.0000000,58,16,-11.561341,.23649989E-01,.74298442,.16356641
1,0,.30428472,.0000000,58,5,-13.002866,.75303081E-02,.75119478,.15220086
1,0,.28300251,.13135421,58,25,-12.437222,.12090419E-01,.74887209,.15541558
